hid,dname,pwgt,ppopwgt,relation,partner,children,age,sex,immigr,educ,educ_c,emp,ptime,status1,gross1,hpopwgt,nhhmem,hitsi,hitsu,hitp,hxit,dhi,factor,grossnet,_merge,depemp,achildcat,livepartner,hourwage,logwage,agesq,youngchild,oldchild,mededuc,hieduc,miss_comp,dhi_tb,edhi_tb,poor,thresh
17,it04,.54923266,3161.0295,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,46,[2]female,[0]not immigrant,[1]low,120,[1]employed,[0]full-time,[110]regular employee,,3161.0295,4,0,0,0,10540,40066,40066,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2116,0,0,0,0,0,40066,20033,0,7514.5
19,it04,.14977585,862.01331,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,52,[2]female,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[110]regular employee,,862.01331,4,0,0,0,14134,49961,49961,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2704,0,0,0,1,0,49961,24980.5,0,7514.5
19,it04,.14977585,862.01331,[3000]child,[200]does not have partner,,27,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,862.01331,4,0,0,0,14134,49961,49961,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,729,,,1,0,0,49961,24980.5,0,7514.5
20,it04,.36612687,2107.1904,[1000]head,[200]does not have partner,[200]not living with own children,50,[2]female,[0]not immigrant,[2]medium,210,[1]employed,[1]part-time,[200]self-employed,,2107.1904,1,0,0,0,874,4002,4002,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,no children <18,0,,,2500,0,0,1,0,0,4002,4002,1,7514.5
22,it04,.24022889,1382.6028,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,52,[2]female,[0]not immigrant,[2]medium,260,[1]employed,[1]part-time,[110]regular employee,,1382.6028,4,0,0,0,24480,63983,63983,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2704,0,0,1,0,0,63983,31991.5,0,7514.5
22,it04,.24022889,1382.6028,[3000]child,[200]does not have partner,,28,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,1382.6028,4,0,0,0,24480,63983,63983,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,784,,,1,0,0,63983,31991.5,0,7514.5
22,it04,.24022889,1382.6028,[3000]child,[200]does not have partner,,26,[2]female,[0]not immigrant,[3]high,320,[0]not employed,,,,1382.6028,4,0,0,0,24480,63983,63983,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,676,,,0,1,0,63983,31991.5,0,7514.5
23,it04,.29253873,1683.6646,[1000]head,[200]does not have partner,[200]not living with own children,54,[2]female,[0]not immigrant,[1]low,130,[1]employed,[1]part-time,[110]regular employee,,1683.6646,1,0,0,0,585,6000,6000,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,0,,,2916,0,0,0,0,0,6000,6000,1,7514.5
24,it04,.48789009,2807.9812,[1000]head,[200]does not have partner,[130]living with own children 13-17,46,[2]female,[0]not immigrant,[1]low,120,[1]employed,[1]part-time,[110]regular employee,,2807.9812,4,0,1196,1500,3733,26241,23545,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,0,,,2116,0,1,0,0,0,26241,13120.5,0,7514.5
24,it04,.48789009,2807.9812,[3000]child,[200]does not have partner,,25,[2]female,[0]not immigrant,[2]medium,220,[1]employed,[1]part-time,[110]regular employee,,2807.9812,4,0,1196,1500,3733,26241,23545,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,625,,,1,0,0,26241,13120.5,0,7514.5
25,it04,.60330838,3472.2544,[1000]head,[110]living with partner,[140]living with own children 18+,50,[2]female,[0]not immigrant,[1]low,120,[0]not employed,,,,3472.2544,4,0,0,0,6746,20125,20125,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2500,0,0,0,0,0,20125,10062.5,0,7514.5
25,it04,.60330838,3472.2544,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,47,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,3472.2544,4,0,0,0,6746,20125,20125,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2209,0,0,0,0,0,20125,10062.5,0,7514.5
25,it04,.60330838,3472.2544,[3000]child,[200]does not have partner,,25,[2]female,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[220]own-account worker,,3472.2544,4,0,0,0,6746,20125,20125,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,,0,,,625,,,0,0,0,20125,10062.5,0,7514.5
26,it04,.97423291,5607.0571,[3000]child,[200]does not have partner,,33,[2]female,[0]not immigrant,[2]medium,210,[0]not employed,,,,5607.0571,2,8060,0,0,12233,26391,15211,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,1089,,,1,0,0,26391,18661.256,0,7514.5
27,it04,.12631984,727.01563,[1000]head,[110]living with partner,[140]living with own children 18+,48,[1]male,[0]not immigrant,[1]low,130,[0]not employed,,,,727.01563,3,8000,0,0,4938,23741,15741,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2304,0,0,0,0,0,23741,13706.873,0,7514.5
27,it04,.12631984,727.01563,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,48,[2]female,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,727.01563,3,8000,0,0,4938,23741,15741,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2304,0,0,0,0,0,23741,13706.873,0,7514.5
28,it04,.74148619,4267.5171,[1000]head,[110]living with partner,[200]not living with own children,54,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,4267.5171,2,0,0,0,15473,30440,30440,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2916,0,0,1,0,0,30440,21524.33,0,7514.5
28,it04,.74148619,4267.5171,[2000]spouse/partner,[110]living with partner,[200]not living with own children,51,[2]female,[0]not immigrant,[2]medium,230,[0]not employed,,,,4267.5171,2,0,0,0,15473,30440,30440,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2601,0,0,1,0,0,30440,21524.33,0,7514.5
30,it04,.18794054,1081.6647,[1000]head,[110]living with partner,[120]living with own children 6-12,47,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,1081.6647,4,0,0,0,19766,48319,48319,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2209,0,1,1,0,0,48319,24159.5,0,7514.5
30,it04,.18794054,1081.6647,[2000]spouse/partner,[110]living with partner,[120]living with own children 6-12,47,[2]female,[0]not immigrant,[3]high,320,[1]employed,[1]part-time,[110]regular employee,,1081.6647,4,0,0,0,19766,48319,48319,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2209,0,1,0,1,0,48319,24159.5,0,7514.5
34,it04,.12269375,706.14624,[1000]head,[110]living with partner,[140]living with own children 18+,49,[1]male,[0]not immigrant,[2]medium,210,[1]employed,[0]full-time,[110]regular employee,,706.14624,3,3100,0,0,10095,32641,29541,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2401,0,0,1,0,0,32641,18845.291,0,7514.5
34,it04,.12269375,706.14624,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,45,[2]female,[0]not immigrant,[2]medium,210,[1]employed,[0]full-time,[110]regular employee,,706.14624,3,3100,0,0,10095,32641,29541,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2025,0,0,1,0,0,32641,18845.291,0,7514.5
36,it04,.58388078,3360.4417,[3000]child,[200]does not have partner,,30,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,3360.4417,4,25200,0,0,11123,48216,23016,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,900,,,1,0,0,48216,24108,0,7514.5
36,it04,.58388078,3360.4417,[3000]child,[200]does not have partner,,25,[2]female,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[110]regular employee,,3360.4417,4,25200,0,0,11123,48216,23016,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,625,,,0,1,0,48216,24108,0,7514.5
39,it04,.15943131,917.58392,[1000]head,[110]living with partner,[140]living with own children 18+,51,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,917.58392,5,0,0,0,25105,62058,62057,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2601,0,0,0,0,0,62058,27753.182,0,7514.5
39,it04,.15943131,917.58392,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,50,[2]female,[0]not immigrant,[2]medium,220,[1]employed,[0]full-time,[110]regular employee,,917.58392,5,0,0,0,25105,62058,62057,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2500,0,0,1,0,0,62058,27753.182,0,7514.5
39,it04,.15943131,917.58392,[3000]child,[200]does not have partner,,26,[1]male,[0]not immigrant,[2]medium,240,[0]not employed,,,,917.58392,5,0,0,0,25105,62058,62057,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,676,,,1,0,0,62058,27753.182,0,7514.5
40,it04,.38710895,2227.95,[3000]child,[200]does not have partner,,33,[1]male,[1]immigrant,[3]high,310,[1]employed,[0]full-time,[220]own-account worker,,2227.95,3,20800,0,0,16498,46251,25451,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,,0,,,1089,,,0,1,0,46251,26703.027,0,7514.5
41,it04,.66396874,3821.3767,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,51,[2]female,[0]not immigrant,[2]medium,210,[1]employed,[1]part-time,[240]contributing family worker,,3821.3767,3,0,0,0,13410,49702,49702,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,no children <18,1,,,2601,0,0,1,0,0,49702,28695.463,0,7514.5
41,it04,.66396874,3821.3767,[3000]child,[200]does not have partner,,25,[2]female,[0]not immigrant,[3]high,320,[1]employed,[1]part-time,[110]regular employee,,3821.3767,3,0,0,0,13410,49702,49702,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,625,,,0,1,0,49702,28695.463,0,7514.5
43,it04,.31679121,1823.2461,[1000]head,[110]living with partner,[120]living with own children 6-12,48,[2]female,[0]not immigrant,[2]medium,260,[1]employed,[1]part-time,[110]regular employee,,1823.2461,5,0,0,0,5494,32665,32665,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2304,0,1,1,0,0,32665,14608.232,0,7514.5
43,it04,.31679121,1823.2461,[2000]spouse/partner,[110]living with partner,[120]living with own children 6-12,49,[1]male,[0]not immigrant,[2]medium,210,[1]employed,[0]full-time,[220]own-account worker,,1823.2461,5,0,0,0,5494,32665,32665,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,6-17 years,1,,,2401,0,1,1,0,0,32665,14608.232,0,7514.5
44,it04,2.0003488,11512.72,[1000]head,[200]does not have partner,[200]not living with own children,44,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,11512.72,1,0,0,0,3811,13041,13041,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,0,,,1936,0,0,0,0,0,13041,13041,0,7514.5
45,it04,1.7133392,9860.877,[3000]child,[200]does not have partner,,32,[1]male,[0]not immigrant,[1]low,130,[1]employed,[1]part-time,[110]regular employee,,9860.877,3,15600,0,0,3778,26455,10855,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,1024,,,0,0,0,26455,15273.802,0,7514.5
47,it04,.18489273,1064.1234,[1000]head,[110]living with partner,[130]living with own children 13-17,51,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,1064.1234,5,0,279,0,9357,26441,26163,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2601,0,1,0,0,0,26441,11824.774,0,7514.5
47,it04,.18489273,1064.1234,[2000]spouse/partner,[110]living with partner,[130]living with own children 13-17,49,[2]female,[0]not immigrant,[1]low,120,[0]not employed,,,,1064.1234,5,0,279,0,9357,26441,26163,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,6-17 years,1,,,2401,0,1,0,0,0,26441,11824.774,0,7514.5
50,it04,.39293391,2261.4746,[3000]child,[200]does not have partner,,27,[1]male,[0]not immigrant,[2]medium,210,[1]employed,[0]full-time,[110]regular employee,,2261.4746,4,22600,0,0,16111,44612,22012,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,729,,,1,0,0,44612,22306,0,7514.5
51,it04,1.1037192,6352.2974,[1000]head,[110]living with partner,[140]living with own children 18+,52,[1]male,[0]not immigrant,[1]low,120,[1]employed,[0]full-time,[110]regular employee,,6352.2974,5,7150,0,0,4448,27418,20268,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2704,0,0,0,0,0,27418,12261.702,0,7514.5
51,it04,1.1037192,6352.2974,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,52,[2]female,[0]not immigrant,[2]medium,220,[0]not employed,,,,6352.2974,5,7150,0,0,4448,27418,20268,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2704,0,0,1,0,0,27418,12261.702,0,7514.5
51,it04,1.1037192,6352.2974,[3000]child,[200]does not have partner,,26,[2]female,[0]not immigrant,[3]high,310,[0]not employed,,,,6352.2974,5,7150,0,0,4448,27418,20268,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,676,,,0,1,0,27418,12261.702,0,7514.5
53,it04,.12229939,703.87653,[1000]head,[110]living with partner,[200]not living with own children,50,[1]male,[0]not immigrant,[2]medium,240,[1]employed,[0]full-time,[110]regular employee,,703.87653,2,0,0,0,13677,29885,29885,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2500,0,0,1,0,0,29885,21131.887,0,7514.5
53,it04,.12229939,703.87653,[2000]spouse/partner,[110]living with partner,[200]not living with own children,47,[2]female,[0]not immigrant,[3]high,320,[0]not employed,,,,703.87653,2,0,0,0,13677,29885,29885,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2209,0,0,0,1,0,29885,21131.887,0,7514.5
54,it04,.45508033,2619.1494,[1000]head,[110]living with partner,[120]living with own children 6-12,46,[2]female,[0]not immigrant,[3]high,320,[1]employed,[0]full-time,[110]regular employee,,2619.1494,3,0,0,0,20973,49307,49307,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2116,0,1,0,1,0,49307,28467.41,0,7514.5
54,it04,.45508033,2619.1494,[2000]spouse/partner,[110]living with partner,[120]living with own children 6-12,48,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,2619.1494,3,0,0,0,20973,49307,49307,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2304,0,1,1,0,0,49307,28467.41,0,7514.5
55,it04,.12346292,710.57306,[3000]child,[200]does not have partner,,25,[1]male,[0]not immigrant,[2]medium,230,[0]not employed,,,,710.57306,3,36400,0,0,7288,37693,1293,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,625,,,1,0,0,37693,21762.064,0,7514.5
56,it04,.28290147,1628.1986,[1000]head,[110]living with partner,[130]living with own children 13-17,46,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[200]self-employed,,1628.1986,4,0,0,0,3045,12017,12017,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,6-17 years,1,,,2116,0,1,0,0,0,12017,6008.5,1,7514.5
56,it04,.28290147,1628.1986,[2000]spouse/partner,[110]living with partner,[130]living with own children 13-17,42,[2]female,[0]not immigrant,[1]low,130,[0]not employed,,,,1628.1986,4,0,0,0,3045,12017,12017,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,6-17 years,1,,,1764,0,1,0,0,0,12017,6008.5,1,7514.5
57,it04,.8337608,4798.5903,[3000]child,[200]does not have partner,,28,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[200]self-employed,,4798.5903,2,8216,0,0,8471,23436,15220,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,,0,,,784,,,1,0,0,23436,16571.754,0,7514.5
62,it04,.9047029,5206.8872,[1000]head,[110]living with partner,[200]not living with own children,54,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,5206.8872,2,0,0,0,21843,46570,46570,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2916,0,0,1,0,0,46570,32929.961,0,7514.5
62,it04,.9047029,5206.8872,[2000]spouse/partner,[110]living with partner,[200]not living with own children,49,[2]female,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[110]regular employee,,5206.8872,2,0,0,0,21843,46570,46570,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2401,0,0,0,0,0,46570,32929.961,0,7514.5
63,it04,.24895705,1432.8365,[1000]head,[110]living with partner,[130]living with own children 13-17,49,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[110]regular employee,,1432.8365,4,0,155,0,3943,17662,17507,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2401,0,1,1,0,0,17662,8831,0,7514.5
63,it04,.24895705,1432.8365,[2000]spouse/partner,[110]living with partner,[130]living with own children 13-17,42,[2]female,[0]not immigrant,[2]medium,260,[0]not employed,,,,1432.8365,4,0,155,0,3943,17662,17507,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,6-17 years,1,,,1764,0,1,1,0,0,17662,8831,0,7514.5
64,it04,1.3780211,7931.002,[1000]head,[110]living with partner,[130]living with own children 13-17,46,[1]male,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[220]own-account worker,,7931.002,5,0,0,0,3996,14408,14408,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,6-17 years,1,,,2116,0,1,0,0,0,14408,6443.4536,1,7514.5
64,it04,1.3780211,7931.002,[2000]spouse/partner,[110]living with partner,[130]living with own children 13-17,42,[2]female,[0]not immigrant,[1]low,120,[0]not employed,,,,7931.002,5,0,0,0,3996,14408,14408,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,6-17 years,1,,,1764,0,1,0,0,0,14408,6443.4536,1,7514.5
65,it04,.59437394,3420.8337,[1000]head,[110]living with partner,[140]living with own children 18+,46,[2]female,[0]not immigrant,[1]low,120,[0]not employed,,,,3420.8337,3,0,0,0,341,11000,0,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2116,0,0,0,0,0,11000,6350.853,1,7514.5
65,it04,.59437394,3420.8337,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,48,[1]male,[0]not immigrant,[1]low,120,[0]not employed,,,,3420.8337,3,0,0,0,341,11000,0,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,no children <18,1,,,2304,0,0,0,0,0,11000,6350.853,1,7514.5
66,it04,.76720005,4415.5093,[3000]child,[200]does not have partner,,31,[1]male,[0]not immigrant,[2]medium,210,[0]not employed,,,,4415.5093,3,0,0,0,0,8160,0,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),,,0,,,961,,,1,0,0,8160,4711.1782,1,7514.5
67,it04,.78056663,4492.439,[3000]child,[200]does not have partner,,29,[2]female,[0]not immigrant,[2]medium,220,[1]employed,[0]full-time,[110]regular employee,,4492.439,3,9100,0,0,703,16300,7200,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,841,,,1,0,0,16300,9410.8096,0,7514.5
73,it04,.11547018,664.57196,[3000]child,[200]does not have partner,,44,[1]male,[0]not immigrant,[2]medium,210,[1]employed,[0]full-time,[110]regular employee,,664.57196,2,10550,0,0,6966,28442,17892,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,,0,,,1936,,,1,0,0,28442,20111.531,0,7514.5
79,it04,.52121329,2999.7681,[1000]head,[110]living with partner,[130]living with own children 13-17,47,[2]female,[0]not immigrant,[2]medium,260,[1]employed,[0]full-time,[110]regular employee,,2999.7681,3,0,0,0,4980,26645,26645,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,6-17 years,1,,,2209,0,1,1,0,0,26645,15383.498,0,7514.5
79,it04,.52121329,2999.7681,[2000]spouse/partner,[110]living with partner,[130]living with own children 13-17,46,[1]male,[0]not immigrant,[2]medium,230,[1]employed,[0]full-time,[240]contributing family worker,,2999.7681,3,0,0,0,4980,26645,26645,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,6-17 years,1,,,2116,0,1,1,0,0,26645,15383.498,0,7514.5
80,it04,.39794123,2290.2935,[1000]head,[110]living with partner,[140]living with own children 18+,51,[2]female,[0]not immigrant,[2]medium,260,[1]employed,[0]full-time,[110]regular employee,,2290.2935,3,0,0,0,8291,31084,31084,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2601,0,0,1,0,0,31084,17946.355,0,7514.5
80,it04,.39794123,2290.2935,[2000]spouse/partner,[110]living with partner,[140]living with own children 18+,53,[1]male,[0]not immigrant,[2]medium,240,[1]employed,[0]full-time,[110]regular employee,,2290.2935,3,0,0,0,8291,31084,31084,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),1,no children <18,1,,,2809,0,0,1,0,0,31084,17946.355,0,7514.5
81,it04,.70073664,4032.989,[1000]head,[200]does not have partner,[140]living with own children 18+,50,[2]female,[0]not immigrant,[1]low,130,[1]employed,[0]full-time,[240]contributing family worker,,4032.989,3,0,0,0,2484,15180,15180,"[310]total income account for full taxes and contributions, subcomponents do not",matched (3),0,no children <18,0,,,2500,0,0,0,0,0,15180,8764.1768,0,7514.5
